bmi_grp,19-44,45-54,55-64,65-74,75+
<23,,1.4,1.74,1.9,1.75
23-25,,3.1,3.46,3.66,3.44
25-27.5,0.35,2.42,4.67,5.28,4.53
27.5-30,0.76,3.41,7.03,7.16,5.36
30+,1.4,5.79,8.06,6.5,7.9
