Variable,OR,CI_low,CI_high,p
BMI (+1),1.154,1.131,1.178,0.0
Age (+1yr),1.035,1.029,1.04,0.0
Female,0.845,0.72,0.99,0.038
Current smoker,1.25,1.007,1.551,0.043
Regular exercise,0.844,0.727,0.979,0.025
