pair,19-29,70+,gap
2019_2020,0.137,0.15,-0.013
2020_2021,0.074,0.054,0.02
2021_2022,0.079,0.056,0.023
2022_2023,0.079,0.059,0.02
2023_2024,0.069,0.077,-0.008
