stratum,level,attain_rate,n
AGEG_t0,19-29,0.089,3066
AGEG_t0,30-39,0.099,4143
AGEG_t0,40-49,0.072,6178
AGEG_t0,50-59,0.068,6825
AGEG_t0,60-69,0.066,9083
AGEG_t0,70+,0.08,10505
INCQ_t0,Q1,0.086,8513
INCQ_t0,Q2,0.073,8551
INCQ_t0,Q3,0.07,8095
INCQ_t0,Q4,0.078,7470
INCQ_t0,Q5,0.071,7003
