term,coef,OR,p
Intercept,-8.8101,0.0001,0.0
C(year0)[T.2020],-0.1688,0.8447,0.1361
C(year0)[T.2021],0.3071,1.3595,0.0029
C(year0)[T.2022],-0.1209,0.8861,0.2892
C(year0)[T.2023],0.1534,1.1658,0.157
TREAT,-0.4969,0.6084,0.0012
bmi0,0.1022,1.1077,0.0
age0,0.0497,1.051,0.0
male,-0.0589,0.9428,0.3984
