,value
axis1_median_prescribed_BMI_reduction,4.34
axis1_pop_achievement_at_median,0.005
axis2_treatment_OR,0.6084
axis2_ipw_risk_diff_pp,-1.009
axis5_overall_attainment,0.076
axis5_attainment_gap_young_minus_old_pooled,0.008
