proxy,treated_mean,control_mean,p
OUGUN,21.44,20.031,0.0094
INGUN,1.621,1.487,0.1505
OUOOP_1,751350.764,682214.858,0.0436
INOOP,2180360.229,2039196.983,0.9467
IN1YEAR,,1.0,
I_FFS_YN,0.759,0.763,0.6697
UNMET,0.131,0.12,0.1063
